Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Military Studies Minor,24,NAVSC 411,N/A,,Select 0-3 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,NAVSC 101,N/A,,Select 0-3 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,NAVSC 102,N/A,,Select 0-3 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,NAVSC 200,N/A,,Select 0-3 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,NAVSC 202,N/A,,Select 0-3 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,NAVSC 301,N/A,,Select 0-3 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,NAVSC 401,N/A,,Select 0-3 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,NAVSC 402,N/A,,Select 0-3 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,HIST 108,N/A,,Select 6 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,HIST 120N,N/A,,Select 6 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,HIST 130,N/A,,Select 6 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,HIST 142N,N/A,,Select 6 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,HIST 143N,N/A,,Select 6 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,HIST 144,N/A,,Select 6 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,HIST 151N,N/A,,Select 6 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,HIST 160,N/A,,Select 6 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,HIST 161,N/A,,Select 6 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,HIST 165,N/A,,Select 6 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,HIST 173,N/A,,Select 6 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,HIST 175,N/A,,Select 6 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,HIST 178,N/A,,Select 6 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,HIST 181,N/A,,Select 6 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,HIST 192,N/A,,Select 6 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,HIST 420,N/A,,Select 6 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,HIST 430,N/A,,Select 6 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,HIST 434,N/A,,Select 6 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,HIST 441,N/A,,Select 6 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,HIST 444,N/A,,Select 6 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,HIST 452,N/A,,Select 6 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,HIST 454,N/A,,Select 6 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,HIST 473,N/A,,Select 6 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,PLSC 3,N/A,,Select 6 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,PLSC 14,N/A,,Select 6 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
